yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,8,23,11,737.535,2.17
2016,8,23,12,737.535,2.17
2016,8,23,13,737.535,2.17
2016,8,23,14,737.535,2.17
2016,8,23,15,737.534,2.16
2016,8,23,16,737.533,2.149
2016,8,23,17,737.533,2.149
2016,8,23,18,737.533,2.149
2016,8,23,19,737.533,2.149
2016,8,23,20,737.532,2.138
2016,8,23,21,737.533,2.149
2016,8,23,22,737.532,2.138
2016,8,23,23,737.532,2.138
2016,8,24,0,737.532,2.138
2016,8,24,1,737.532,2.138
2016,8,24,2,737.532,2.138
2016,8,24,3,737.532,2.138
2016,8,24,4,737.532,2.138
2016,8,24,5,737.532,2.138
2016,8,24,6,737.532,2.138
2016,8,24,7,737.529,2.106
2016,8,24,8,737.529,2.106
2016,8,24,9,737.529,2.106
2016,8,24,10,737.529,2.106
2016,8,24,11,737.529,2.106
2016,8,24,12,737.529,2.106
2016,8,24,13,737.529,2.106
2016,8,24,14,737.529,2.106
2016,8,24,15,737.529,2.106
2016,8,24,16,737.527,2.085
2016,8,24,17,737.527,2.085
2016,8,24,18,737.527,2.085
2016,8,24,19,737.527,2.085
2016,8,24,20,737.526,2.074
2016,8,24,21,737.525,2.064
2016,8,24,22,737.525,2.064
2016,8,24,23,737.524,2.053
2016,8,25,0,737.51,1.911
2016,8,25,1,737.51,1.911
2016,8,25,2,737.51,1.911
2016,8,25,3,737.51,1.911
2016,8,25,4,737.51,1.911
2016,8,25,5,737.51,1.911
2016,8,25,6,737.51,1.911
2016,8,25,7,737.51,1.911
2016,8,25,8,737.521,2.022
2016,8,25,9,737.52,2.012
2016,8,25,10,737.519,2.001
2016,8,25,11,737.519,2.001
2016,8,25,12,737.519,2.001
2016,8,25,13,737.519,2.001
2016,8,25,14,737.518,1.991
2016,8,25,15,737.518,1.991
2016,8,25,16,737.517,1.981
2016,8,25,17,737.517,1.981
2016,8,25,18,737.517,1.981
2016,8,25,19,737.515,1.961
2016,8,25,20,737.515,1.961
2016,8,25,21,737.515,1.961
2016,8,25,22,737.515,1.961
2016,8,25,23,737.515,1.961
2016,8,26,0,737.514,1.95
2016,8,26,1,737.514,1.95
2016,8,26,2,737.514,1.95
2016,8,26,3,737.513,1.941
2016,8,26,4,737.513,1.941
2016,8,26,5,737.513,1.941
2016,8,26,6,737.512,1.931
2016,8,26,7,737.512,1.931
2016,8,26,8,737.512,1.931
2016,8,26,9,737.511,1.92
2016,8,26,10,737.511,1.92
2016,8,26,11,737.511,1.92
2016,8,26,12,737.511,1.92
2016,8,26,13,737.514,1.95
2016,8,26,14,737.517,1.981
2016,8,26,15,737.52,2.012
2016,8,26,16,737.522,2.032
2016,8,26,17,737.523,2.043
2016,8,26,18,737.523,2.043
2016,8,26,19,737.523,2.043
2016,8,26,20,737.523,2.043
2016,8,26,21,737.522,2.032
2016,8,26,22,737.522,2.032
2016,8,26,23,737.524,2.053
2016,8,27,0,737.525,2.064
2016,8,27,1,737.527,2.085
2016,8,27,2,737.529,2.106
